step,loss,ppl,lr,tok_s
12030,4.9557,141.98,0.00027,241
12040,4.4383,84.63,0.00027,241
12050,4.7279,113.05,0.00027,240
12060,5.1122,166.04,0.00027,240
12070,3.9323,51.03,0.00027,240
12080,4.3198,75.17,0.00027,240
12090,4.2644,71.12,0.00027,240
12100,4.8106,122.81,0.000269,240
12110,4.2502,70.12,0.000269,240
12120,5.0679,158.84,0.000269,240
12130,4.6508,104.67,0.000269,240
12140,4.0497,57.38,0.000269,240
12150,4.5346,93.18,0.000269,239
12160,4.4465,85.33,0.000269,239
12170,4.5722,96.76,0.000269,239
12180,4.3223,75.36,0.000269,239
12190,4.9294,138.29,0.000269,239
12200,4.4402,84.79,0.000269,239
12210,4.4563,86.17,0.000269,239
12220,4.458,86.31,0.000269,238
12230,4.5812,97.63,0.000269,238
12240,4.7318,113.5,0.000269,238
12250,4.6565,105.27,0.000269,238
12260,4.7155,111.67,0.000269,238
12270,5.1827,178.16,0.000268,238
12280,4.189,65.96,0.000268,238
12290,4.9303,138.42,0.000268,238
12300,4.8447,127.06,0.000268,237
12310,4.7894,120.23,0.000268,237
12320,4.4394,84.73,0.000268,237
12330,4.6072,100.2,0.000268,237
12340,4.3716,79.17,0.000268,237
12350,4.8213,124.13,0.000268,237
12360,4.8389,126.34,0.000268,237
12370,5.0401,154.48,0.000268,237
12380,4.6393,103.47,0.000268,236
12390,4.595,98.98,0.000268,236
12400,4.5349,93.21,0.000268,236
12410,4.5083,90.77,0.000268,236
12420,4.6266,102.16,0.000268,236
12430,4.9581,142.32,0.000268,236
12440,4.8795,131.56,0.000267,236
12450,4.6669,106.37,0.000267,236
12460,4.8594,128.95,0.000267,236
12470,4.0054,54.89,0.000267,236
12480,4.5448,94.14,0.000267,236
12490,4.7036,110.35,0.000267,235
12500,4.8819,131.88,0.000267,235
12510,4.5639,95.96,0.000267,235
12520,4.0609,58.03,0.000267,235
12530,4.2752,71.89,0.000267,235
12540,4.8239,124.44,0.000267,235
12550,4.2635,71.06,0.000267,235
12560,4.2361,69.13,0.000267,235
12570,4.3898,80.62,0.000267,235
12580,4.3061,74.15,0.000267,235
12590,4.4029,81.69,0.000267,235
12600,4.0866,59.54,0.000266,235
12610,4.2985,73.59,0.000266,235
12620,4.3915,80.76,0.000266,235
12630,4.1796,65.34,0.000266,235
12640,4.6191,101.4,0.000266,235
12650,4.4027,81.67,0.000266,235
12660,4.5256,92.35,0.000266,235
12670,4.3455,77.13,0.000266,235
12680,4.1609,64.13,0.000266,235
12690,4.2792,72.18,0.000266,235
12700,3.9823,53.64,0.000266,235
12710,4.0151,55.43,0.000266,235
12720,4.3329,76.16,0.000266,235
12730,4.5113,91.04,0.000266,235
12740,4.5827,97.78,0.000266,235
12750,4.5622,95.79,0.000266,235
12760,4.1598,64.06,0.000266,235
12770,4.4869,88.85,0.000265,235
12780,4.5178,91.64,0.000265,235
12790,4.6131,100.79,0.000265,235
12800,4.6714,106.84,0.000265,235
12810,4.5902,98.52,0.000265,235
12820,4.223,68.24,0.000265,235
12830,4.3739,79.35,0.000265,235
12840,4.7653,117.36,0.000265,235
12850,4.971,144.17,0.000265,235
12860,4.1071,60.77,0.000265,235
12870,4.9855,146.28,0.000265,235
12880,4.3407,76.76,0.000265,235
12890,4.4967,89.72,0.000265,235
12900,4.4753,87.82,0.000265,235
12910,4.7498,115.56,0.000265,235
12920,4.2627,71.0,0.000265,235
12930,4.011,55.2,0.000264,235
12940,4.3657,78.71,0.000264,235
12950,4.5915,98.65,0.000264,235
12960,4.5314,92.89,0.000264,235
